                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1978,                 1.4735,                 1.2379,                0.66559,                0.53897,                0.62112,                0.45737,                 1.0758,                 1.1022,                 1.1218,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1763,                  1.374,                  1.213,                0.65999,                0.56771,                  0.635,                0.46954,                 1.0782,                  1.091,                  1.116,               0.086485,              0.0014851,              0.0014851
