               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0091549,            0.004019,            0.030164,             0.50146,             0.75331,             0.58169,              0.5696,           0.0035379,           0.0016449,            0.019452,            0.008317,            0.008317,            0.008317
                  36,           0.0091487,           0.0040052,            0.030272,             0.52593,             0.74943,             0.59017,             0.57941,           0.0035154,           0.0015471,            0.019472,           0.0082675,           0.0082675,           0.0082675
                  37,           0.0091588,           0.0039968,            0.030204,             0.51466,              0.7576,             0.59347,             0.58203,           0.0035492,           0.0015792,             0.01928,            0.008218,            0.008218,            0.008218
                  38,           0.0091095,           0.0039996,            0.030043,             0.51796,              0.7576,             0.58949,             0.57929,           0.0035164,           0.0015866,            0.019292,           0.0081685,           0.0081685,           0.0081685
                  39,            0.009088,           0.0040467,            0.030097,             0.50128,             0.75386,             0.58597,             0.57533,           0.0035522,           0.0015875,            0.019341,            0.008119,            0.008119,            0.008119
                  40,           0.0090541,           0.0039487,            0.030044,             0.52002,             0.76915,             0.58913,             0.57899,           0.0034813,           0.0016104,             0.01938,           0.0080695,           0.0080695,           0.0080695
                  41,            0.009028,           0.0039454,            0.030129,              0.5115,             0.76447,             0.58928,             0.57859,           0.0035006,           0.0015784,             0.01931,             0.00802,             0.00802,             0.00802
                  42,           0.0089721,            0.003979,            0.030032,               0.515,             0.77864,             0.58836,             0.57811,           0.0035195,           0.0015647,            0.019303,           0.0079705,           0.0079705,           0.0079705
                  43,           0.0089312,           0.0039857,            0.030151,              0.5153,             0.76784,             0.59003,             0.58014,           0.0034966,           0.0015841,            0.019324,            0.007921,            0.007921,            0.007921
                  44,           0.0089885,           0.0039162,            0.030023,             0.53001,             0.74905,             0.59692,             0.58694,           0.0034668,           0.0015937,            0.019201,           0.0078715,           0.0078715,           0.0078715
                  45,           0.0088487,           0.0039652,             0.02996,             0.52248,             0.77196,             0.59889,             0.58858,           0.0034699,           0.0016004,            0.019256,            0.007822,            0.007822,            0.007822
                  46,           0.0088896,           0.0039407,             0.02991,             0.53289,             0.75613,             0.60076,             0.59082,           0.0034786,           0.0015697,            0.019172,           0.0077725,           0.0077725,           0.0077725
                  47,           0.0088548,           0.0039335,            0.030068,             0.51852,             0.76802,             0.59898,              0.5883,           0.0034788,           0.0015836,            0.019227,            0.007723,            0.007723,            0.007723
                  48,           0.0088493,           0.0039367,            0.029946,             0.51438,             0.76152,              0.5928,              0.5828,           0.0034634,           0.0015779,            0.019222,           0.0076735,           0.0076735,           0.0076735
                  49,            0.008842,           0.0039491,            0.029863,             0.50738,              0.7652,             0.59638,             0.58635,           0.0034583,           0.0016074,            0.019135,            0.007624,            0.007624,            0.007624
                  50,           0.0087389,           0.0039399,            0.029956,             0.52121,             0.75716,             0.60032,             0.59045,           0.0034601,           0.0015841,            0.019069,           0.0075745,           0.0075745,           0.0075745
                  51,           0.0088558,           0.0039485,            0.029952,             0.51295,             0.75527,             0.59822,             0.58856,           0.0034503,           0.0015669,            0.019129,            0.007525,            0.007525,            0.007525
                  52,           0.0088177,           0.0039384,            0.030126,             0.51932,             0.75872,             0.60052,             0.59023,           0.0034555,           0.0015693,             0.01908,           0.0074755,           0.0074755,           0.0074755
                  53,           0.0087649,           0.0039086,            0.029976,              0.5192,              0.7582,             0.60195,             0.59196,           0.0034499,           0.0015604,            0.019099,            0.007426,            0.007426,            0.007426
                  54,             0.00873,           0.0039165,            0.029979,             0.51268,             0.76187,             0.59945,             0.58954,           0.0034551,           0.0015654,            0.019157,           0.0073765,           0.0073765,           0.0073765
                  55,           0.0085936,           0.0038932,            0.029816,             0.51156,             0.76739,              0.6009,             0.59081,           0.0034452,           0.0015634,            0.019136,            0.007327,            0.007327,            0.007327
                  56,           0.0085279,           0.0038875,            0.029811,             0.51935,              0.7621,             0.60409,             0.59443,           0.0034507,            0.001559,            0.019082,           0.0072775,           0.0072775,           0.0072775
                  57,           0.0086608,           0.0038875,            0.030024,             0.51914,             0.75453,             0.60325,             0.59351,           0.0034472,           0.0015609,            0.019071,            0.007228,            0.007228,            0.007228
                  58,           0.0085893,           0.0039032,             0.02997,             0.51656,             0.75805,             0.60395,             0.59413,           0.0034457,           0.0015651,            0.019056,           0.0071785,           0.0071785,           0.0071785
                  59,           0.0085376,            0.003868,            0.030048,             0.51908,             0.76384,             0.60485,             0.59511,           0.0034537,           0.0015651,             0.01904,            0.007129,            0.007129,            0.007129
                  60,           0.0086742,           0.0039031,            0.029762,              0.5144,             0.77022,             0.60351,              0.5935,           0.0034381,           0.0015622,             0.01906,           0.0070795,           0.0070795,           0.0070795
                  61,           0.0086026,           0.0038442,            0.029957,             0.51679,             0.76444,             0.60322,             0.59334,           0.0034388,           0.0015616,            0.019065,             0.00703,             0.00703,             0.00703
                  62,           0.0085595,           0.0038617,            0.029866,             0.51794,             0.76836,             0.60349,             0.59377,           0.0034383,           0.0015647,            0.019052,           0.0069805,           0.0069805,           0.0069805
                  63,           0.0085608,           0.0038813,             0.02983,              0.5166,             0.77649,             0.60447,             0.59444,           0.0034425,           0.0015636,            0.019024,            0.006931,            0.006931,            0.006931
                  64,           0.0084798,           0.0038699,            0.029861,             0.51416,             0.78296,             0.60562,             0.59568,            0.003436,            0.001563,            0.019014,           0.0068815,           0.0068815,           0.0068815
                  65,           0.0085219,           0.0038221,            0.029806,             0.51426,             0.78378,             0.60666,             0.59656,           0.0034363,           0.0015689,            0.019013,            0.006832,            0.006832,            0.006832
                  66,           0.0085346,           0.0038662,            0.029931,              0.5127,             0.78415,             0.60624,             0.59658,           0.0034346,           0.0015671,            0.019004,           0.0067825,           0.0067825,           0.0067825
                  67,           0.0085609,           0.0038471,            0.029697,              0.5129,             0.78348,             0.60679,             0.59703,           0.0034325,            0.001571,            0.018993,            0.006733,            0.006733,            0.006733
                  68,           0.0083892,            0.003846,            0.029699,             0.51411,              0.7819,             0.60713,             0.59744,           0.0034293,           0.0015732,            0.018969,           0.0066835,           0.0066835,           0.0066835
                  69,           0.0084631,           0.0038446,            0.029873,             0.51292,             0.78814,             0.60833,             0.59832,           0.0034283,           0.0015732,            0.018956,            0.006634,            0.006634,            0.006634
                  70,           0.0084108,           0.0038003,            0.029626,             0.51435,             0.78751,             0.60971,             0.59963,           0.0034256,           0.0015739,             0.01894,           0.0065845,           0.0065845,           0.0065845
                  71,           0.0084792,           0.0038633,            0.029838,             0.51432,             0.79007,             0.61049,             0.60076,           0.0034278,           0.0015739,            0.018933,            0.006535,            0.006535,            0.006535
                  72,            0.008378,           0.0038172,            0.029696,             0.51275,             0.78881,             0.61024,              0.6005,           0.0034274,           0.0015737,            0.018939,           0.0064855,           0.0064855,           0.0064855
                  73,           0.0082975,           0.0038262,            0.029775,             0.51276,             0.79011,             0.61044,             0.60098,           0.0034285,           0.0015738,            0.018935,            0.006436,            0.006436,            0.006436
                  74,           0.0083535,           0.0038431,            0.029698,             0.51366,             0.78588,             0.61027,             0.60081,           0.0034303,           0.0015716,            0.018935,           0.0063865,           0.0063865,           0.0063865
                  75,           0.0082845,           0.0037882,            0.029657,             0.51194,             0.78571,             0.61011,             0.60057,           0.0034288,           0.0015698,             0.01893,            0.006337,            0.006337,            0.006337
